repo_id,address,total_file_cnt,total_java_files,listener_pattern_cnt,visitor_pattern_cnt,enter_method_cnt,exit_method_cnt,enter_exit_method_cnt,visit_method_cnt
290,melin/bigdata-sql-parser,92,20,1,0,0,2,0,0
291,meridor/perspective-backend,931,812,2,0,0,13,0,0
292,merrymercy/compiler2017,341,124,1,0,0,41,0,1
293,metadave/contact,146,101,2,0,0,37,0,0
294,metadave/etp,57,22,1,0,0,17,0,0
295,michel-kraemer/citeproc-java,336,151,0,0,0,0,0,0
296,mike-lischke/vscode-antlr4,216,0,0,0,0,0,0,0
297,mir1128/kafkasql,98,54,0,0,0,0,0,0
298,mjwrites/Cafecito,703,11,0,0,0,0,0,0
299,mozafari/cliffguard,245,157,3,0,30,19,19,27
300,mrc-ide/PhyDyn,144,77,0,5,0,0,0,53
301,multilang-depends/depends,484,265,4,1,28,13,12,23
302,mzur/pretty-formula,71,10,0,1,0,0,0,5
303,nRo/DataFrame,194,155,0,5,0,0,0,6
304,ndsev/zserio,2146,715,0,3,0,0,0,434
305,nedap/archie,778,397,1,0,9,2,2,0
306,neo4j-contrib/neo4j-apoc-procedures,868,482,0,0,0,0,0,1
307,nielsbasjes/logparser,275,148,1,0,44,0,0,0
308,nielsbasjes/yauaa,645,151,2,5,31,0,0,71
309,notaql/notaql,490,182,0,16,0,0,0,100
310,novoda/sqlite-analyzer,121,25,0,0,0,0,0,0
311,npgall/cqengine,1629,379,2,0,0,9,0,0
312,nradov/abnffuzzer,81,39,0,0,0,0,0,0
313,nsacyber/GRASSMARLIN,723,255,0,0,0,0,0,0
314,oasis-open/cti-stix2-json-schemas,91,0,0,0,0,0,0,0
315,octopus-platform/joern,1469,527,2,0,69,45,45,9
